Артикул,Наименование,Производитель,Свободно,В резерве,Ожидается,Тип
,CCMT060204-HFQC1225_DRK,Пластина CCMT 060204-HF QC1225,Derek,0,7,0,Пластина
,5623604W,Пластина DCMT150408MUWM25CT,WIDIA,0,20,0,Пластина
,435354,Пластина канавочная GY2M0500H040N-MS VP20RT,Mitsubishi,0,10,0,Пластина канавочная
,4901206,Держатель расточного инструмента D50, H100 (BMT65), наруж. и внутр. охл.,ALLGRIP,0,1,0,Резец прочий
,SO250651I,Винт SO 250651 I,Товары,0,2,0,Запчасть
,0240014,Кулачки сырые (комплект) SJ-06,Товары,0,1,0,Кулачки токарного патрона
,18.180.40.27,Патрон для насадных и дисковых фрез 18.180.40.27 //Capto5; DCONws=27; LF50//,CANELA,1,0,0,Хвостовик инструмента
,Y.30.01.01.01,Прижим ATK-01-B (AKKO),AKKO,30,10,0,Запчасть
,4806060,Понижающая втулка Ø 32 x 16,ALLGRIP,0,2,0,Втулки и адаптеры
,WBGT060102L-FDP5015_DRK,Пластина WBGT060102L-FDP5015,Derek,0,7,0,Пластина
,RDMX1604MOTNQP5125_DRK,Пластина фрезерная RDMX1604MOTNQP5125,Derek,0,50,0,Пластина для фрез
,LNUX301940SN-DMT9325CN,Пластина LNUX 301940SN-DM T9325 (FH tool),Товары,5,0,0,Пластина
,TCMT110204-HFQP5125_DRK,Пластина TCMT 110204-HF QP5125,Derek,0,140,0,Пластина
,unknown,Пластина твердосплавная спец. SNMG 190616-SR-SP PH0910Polished,Palbit,0,0,0,Пластина
,112494210,Пластина твердосплавная СNMG 190616-SR-SP PH0910,Palbit,0,100,0,Пластина
,MM9910T0064AA20D040,Набор 6MMC150 из 6 механических микрометров. Диапазон измерений до 150 мм. Цена деления 0,01 мм.,BAKER GAUGES INDIA PVT. LTD.,0,1,0,Микрометр
,RA3012Z2GR002000,THREAD RING GAUGE GO SET ORDER M 3, M 4, M 5, M 6, M 8, M 10 & M 12,BAKER GAUGES INDIA PVT. LTD.,0,0,0,Калибр
,RA3012Z2NR002000,THREAD RING GAUGE NOTGO SET ORDER M 3, M 4, M 5, M 6, M 8, M 10 & M 12,BAKER GAUGES INDIA PVT. LTD.,0,0,0,Калибр
,RA0010A3GR002000,M 1 x 0.2 - 6h GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,PA0010A2DR002000,M 1 x 0.2 - 5H D/E TPG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
,PA0030G3DR20715528,M 3 x 0.5 - 6H (SPL) D/E TPG //GO TUNGSTEN CARBIDE & NOT GO STD//,BAKER GAUGES INDIA PVT. LTD.,0,0,0,Калибр
,SA4900T6GR20715524,M 490 x 3 - 8g GO TRG,BAKER GAUGES INDIA PVT. LTD.,1,0,0,Калибр
